name,free_bikes,latitude,longitude
University Ave / Richmond St W,13,43.6503935,-79.3860211
135 Queens Wharf Rd - SMART,7,43.6399714,-79.39940399999999
406 Oakwood Ave,1,43.68827060022711,-79.43937767081853
Granby St / Church St - SMART,1,43.6614605,-79.37894570000002
Lumsden Ave / Eastdale Ave,0,43.69413548199171,-79.30058718775287
Yonge St / Lawrence Ave E,7,43.7254665,-79.40115449999999
Yonge St / Orchard View Blvd,7,43.7083577,-79.39886200000001
Hanna Ave / Liberty St,2,43.63840090000001,-79.4197107
Lower Don River Trail and Taylor Creek Trail,10,43.7027268,-79.33368089999999
St Columba Pl / St Clair Ave E,7,43.70567,-79.310554
Strachan Ave / Princes' Blvd,15,43.635,-79.4088888888889
King St E / River St,4,43.656784782853144,-79.35627385059036
Yonge St / Golfdale Rd,3,43.732016,-79.403637
909 Yonge St,2,43.67515255542865,-79.38849615969643
640 Bloor Street E,0,43.67468857448634,-79.36701962396272
York University (Glendon Campus) - SMART,7,43.727365488246306,-79.3814254607724
1303 Yonge St - SMART,2,43.6846177,-79.39245919999999
York University Station (South) - SMART,4,43.77345,-79.5002
Woodbine Subway Station,1,43.686442,-79.313404
Spadina Ave / Sussex Ave - SMART,2,43.66402799999999,-79.40297869999999
Simcoe St / Queen St W,6,43.65049,-79.3873
Bathurst St / Front St W,10,43.64134790000001,-79.4013882
Bay St / Harbour St (East),23,43.64215,-79.377
East Liberty St / Western Battery Rd,0,43.6392777,-79.4115736
King St W / Brant St,16,43.645102,-79.39744979999999
Bloor St W / Gladstone Ave - SMART,1,43.6602021,-79.4342726
High Park Blvd / Parkside Dr,10,43.644887,-79.45641169999999
20 Eaton Ave,16,43.680012,-79.34403250000001
Fort York Blvd / Garrison Rd,2,43.637381,-79.406112
Housey St / Dan Leckie Way,10,43.63811,-79.397877
1525 Dundas St W,0,43.64957,-79.432446
85 Lee Ave,12,43.6700692,-79.2971326
Mutual St / Shuter St (Arena Gardens),4,43.6559476,-79.37558829999999
Queen St E / Joseph Duggan Rd,17,43.6677628,-79.30811709999999
Heyworth Cres / Kingston Rd,12,43.6750806,-79.3068697
St Clair Ave W / Caledonia Rd,4,43.6754247,-79.4547813
Wellington St W / Stafford St,9,43.6409957,-79.40966630000001
111 Broadview Ave,15,43.6593483,-79.34993659999999
Christie St / Dupont St,0,43.67168,-79.421192
Richmond St E / Jarvis St Green P,4,43.652634,-79.374222
Bathurst St / Dundas St W,9,43.6519501,-79.4060978
Oak St / Sackville St,9,43.6613642,-79.3641171
24 Mountjoy Ave,9,43.6808774,-79.3304491
Colgate Ave / Carlaw Ave,18,43.6623658,-79.3413344
Felstead Ave/Gillard Ave (Monarch Park),3,43.6791345,-79.3263159
Lower Jarvis / The Esplanade,12,43.6478206,-79.3704721
Coronation Park (Martin Goodman Trail),13,43.635495,-79.40352209999999
101 Cedarvale Ave,12,43.6868681,-79.3110942
St Clair Ave W / Oakwood Ave,0,43.678177,-79.435364
Beltline Trail / Yonge St,5,43.6962302,-79.39504339999999
Shaw St / Essex St - SMART,1,43.667076,-79.425116
High Park Outdoor Pool,20,43.649217,-79.465319
St Clair Ave W / Robina Ave,2,43.68005,-79.43469
Joseph J Piccininni Community Centre,5,43.675648,-79.4527619
11 Spadina Rd,1,43.6677246,-79.4041365
Vanauley St / Queen St W - SMART,6,43.648437,-79.39838
Sherbourne St / Wellesley St E,0,43.6673,-79.374
Queen St W / Bay St (City Hall),5,43.6517925,-79.38269509999999
Queen St W / Roncesvalles Ave,17,43.6372958,-79.4423237
Havelock St / Dewson St,5,43.6554793,-79.4302462
St Clair West Subway Station - Heath Entrance,0,43.686352,-79.415894
Queen St W / Shaw St,19,43.6442457,-79.41610440000001
York University Station (North),2,43.7741,-79.5005
Spadina Rd / St.Clair Ave West,5,43.683979,-79.410657
Spadina Ave / Adelaide St W,14,43.6472019,-79.3953394
Cherry St / Mill St,2,43.6513927,-79.35794659999999
Jarvis St / Maitland Pl,1,43.6647688,-79.3772602
Temperance St / Bay St,8,43.6506,-79.381285
Cherry Beach Sports Fields (55 Unwin Ave),14,43.6408346,-79.3429074
Randolph Ave / Perth Ave,0,43.6585504,-79.4497659
Wolseley St / Augusta Ave,22,43.6484201,-79.40051919999999
Lumsden Ave / Cedarvale Ave,8,43.693187,-79.314283
Niagara St / Portland St,9,43.6425791,-79.40011729999999
Church St / The Esplanade,12,43.6469251,-79.3733192
King St W / Portland St,7,43.644395,-79.40065430000001
Widmer St / King St W,7,43.6463574,-79.391206
Wellesley St E / Parliament St,1,43.6682342,-79.3702641
Yonge St / Macpherson Ave,4,43.6791876,-79.39071899999999
Davenport Rd / Bedford Rd,5,43.674446,-79.398331
Exhibition GO Station,11,43.6352007,-79.4187711
265 Armadale Ave,16,43.6501644,-79.48296909999999
800 Fleet St,28,43.636804,-79.408832
St. Joseph St / Bay St - SMART,1,43.6658804,-79.38761010000002
Victoria Park Ave / Kingston Rd,0,43.68035,-79.28357
Ontario St / Adelaide St E -SMART,4,43.6535052,-79.3667689
Highview Ave / Kennedy Rd,4,43.702418581463505,-79.2563167072858
Kingston Rd / Warden Ave,1,43.68824135931814,-79.27046628033244
Birchcliff Ave / Kingston Rd,1,43.691688,-79.265027
Kingston Rd / Glen Everest Rd,5,43.697490048103,-79.25655146462776
Birchmount Rd / Kingston Rd,10,43.69401297794256,-79.26257204548136
Pharmacy Ave / Danforth Ave,8,43.6929478,-79.28339980000001
Danforth Ave / Warden Ave,6,43.6950192,-79.27180659999999
Eglinton Ave W / Gilbert Ave,0,43.69263249999999,-79.4627536
Sharpe St / Park St (Sandown Park),10,43.7105975,-79.2541175
Eglinton Ave W / Prospect Cemetery,1,43.69415,-79.45782580000001
Marlee Ave / York Beltline Trail,1,43.70163,-79.44099
Bert Robinson Park,2,43.688028,-79.460265
Rogers Rd / Prospect Cemetery,1,43.68323,-79.455765
Eglinton Ave W / Ennerdale Rd,2,43.69466,-79.45376999999999
Chester Subway Station,2,43.6784834,-79.3513564
Bloor St W / Old Mill Trl,7,43.65016869999999,-79.4963345
Wendover Rd / Bloor St W (Green P),3,43.6492,-79.50601999999999
Luttrell Ave / Danforth Ave,1,43.6897656,-79.2939525
1926 Lake Shore Blvd W,22,43.6357643,-79.4674917
36 Park Lawn Rd,13,43.62369169999999,-79.4838132
Howard Park Ave / Parkside Dr,5,43.648657,-79.458111
Ted Rogers Way / Bloor St E,7,43.671293,-79.380471
Walter Saunders Park,0,43.699327072589426,-79.4493630391668
Park Lawn Rd / Berry Rd,9,43.63560589999999,-79.4934616
Tobermory Dr / Finch Corridor Trail,10,43.7611741,-79.5114452
Driftwood Ave / Finch Corridor Trail,6,43.7603624,-79.5162777
Grand Avenue Park,16,43.62313,-79.4918
The Pond Rd / Shoreham Dr,8,43.772445,-79.511912
Berkeley St / Adelaide St E - SMART,6,43.653359,-79.365023
Kingston Rd / Ridgemoor Ave,5,43.70643614257429,-79.25104443353288
Moss Park,1,43.655972,-79.370638
York St / Lake Shore Blvd W,17,43.641952,-79.380723
St. Andrew's Playground Park,6,43.646552,-79.399586
College St / Henry St ,2,43.6591529,-79.3947953
Emerson Ave / Bloor St W,1,43.659055,-79.440764
Sherbourne St / Isabella St,0,43.669576,-79.375961
Victoria Park Ave / Dawes Rd,7,43.706466,-79.29511
Roncesvalles Ave / Fermanagh Ave,18,43.646314469245205,-79.44879407014527
Tommy Thompson Park (Leslie Street Spit),16,43.65222662225532,-79.32295440954084
St. John's Rd / Dundas St W,7,43.66526761605873,-79.47502122887077
Albany Ave / Bloor St W,1,43.66554144421798,-79.41010317605742
Pioneer Village Subway Station,2,43.77649016265579,-79.5085364909097
Toronto Eaton Centre (Yonge St) - SMART,18,43.655431,-79.380653
Armoury St / Chestnut St,6,43.65351799690878,-79.38591063795928
Lake Shore Blvd W / Brow Dr,14,43.59119994025076,-79.54449133041076
25 Booth Ave,7,43.6544839,-79.34105699999999
Spadina Ave / Sullivan St,3,43.65082785552666,-79.39698099821702
St. Clair Ave W / Osler St,4,43.673843560032594,-79.46092618902435
Simcoe St / King St W,15,43.647508351306186,-79.38604436555764
Grenoble Dr / Gateway Blvd,5,43.71513211098082,-79.33413623320465
Grenoble Dr / Deauville Ln,3,43.71649675774656,-79.33089439933623
Grenoble Dr / Vendome Pl,6,43.715537998967406,-79.32811427663442
Thorncliffe Park Dr / Leaside Park Trail,2,43.70400405297843,-79.34807015078738
Ferrand Dr / Rochefort Dr,7,43.719632535237835,-79.33199950866776
165 McRae Dr,2,43.70656159598004,-79.36781965092621
75 Thorncliffe Park Dr,5,43.70518328279426,-79.34224729962946
Mount Pleasant Rd / Davisville Ave - SMART,1,43.70088225686968,-79.38736016665911
St Clair Ave W / Avenue Rd ,3,43.68688938028234,-79.40099513147447
HTO Park (Queens Quay W),9,43.63796,-79.387502
Nassau St / Bellevue Ave,10,43.65484215542248,-79.40351232494366
Huron St / Harbord St,6,43.6637,-79.400053
Ward St / Wallace Ave,0,43.662857,-79.44618
Starspray Blvd / Lawrence Ave E,3,43.788319,-79.123505
The Well,7,43.643025055165865,-79.39430137761319
60 Carl Hall Rd - SMART,6,43.7482972,-79.47570569999999
HTO Park West,27,43.63737145931921,-79.38976958703309
Downsview Park Blvd / Keele St  - SMART,17,43.73673829262113,-79.48227195568086
Downsview Park Subway Station - SMART,5,43.753107,-79.479626
Keele St / Dovehouse Ave - SMART,6,43.7494501,-79.4869662
Exhibition GO (Atlantic Ave),12,43.637695491830144,-79.42023184193503
Queens Quay E / Lower Jarvis St ,20,43.64392767366328,-79.3687301736982
Phoebe St / Spadina Ave,26,43.650033,-79.396555
Lynn Williams St / Pirandello St ,2,43.639124514797004,-79.41423166721611
Bay St / Queens Quay W (Ferry Terminal),34,43.640978,-79.376785
College St / Huron St,5,43.658148,-79.398167
Northern Dancer Blvd / Lake Shore Blvd E,10,43.663162,-79.309765
Spadina Rd / Austin Terrace,13,43.67883,-79.408723
York St / Queens Quay W,47,43.640132,-79.380464
Riverdale Park South (Broadview Ave),4,43.66793737272024,-79.35337335118456
Front St W / University Ave (1),18,43.6451635,-79.3831757
Willingdon Blvd / Bloor St W (Green P),6,43.64817,-79.510392
Wallace Ave / Symington Ave - SMART,3,43.661324,-79.449534
Wellesley Station Green P,3,43.66496415990742,-79.38355031526893
York St / Harbour St (Love Park),14,43.640741,-79.3798521
Sherbourne St / Carlton St (Allan Gardens),2,43.663102,-79.373181
Ontario Place Blvd / Lake Shore Blvd W,26,43.6322445,-79.4108105
Simcoe St / Dundas St W - SMART,0,43.655103,-79.389295
College St / Markham St,6,43.6563888888889,-79.4091666666667
Dundas St W / Crawford St,22,43.649722,-79.416944
Sunnyside - Gus Ryder Pool,24,43.637894,-79.454823
High Park - West Rd,2,43.6525077,-79.4654233
Bloor St W / High Park Ave (High Park),1,43.6535269,-79.4650569
Front St E / Cherry St,1,43.652686,-79.358395
519 Church St  - SMART,3,43.666850777484896,-79.38114574756837
Dundas St E / River St,2,43.661152,-79.358505
Shuter St/River St,0,43.659296,-79.358035
Princes' Blvd / Nunavut Rd,6,43.6334636,-79.4143057
Madison Ave / Bloor St W,5,43.667158,-79.402761
Lonsdale Rd / Spadina Rd,2,43.688526,-79.412903
Danforth Ave / Danforth Rd,0,43.69362206784152,-79.27710529695892
Brimley Rd / McCowan District Park,0,43.72704086366749,-79.24391402446746
